,0
201,1000000.0
202,1075251.0
203,1000000.0
204,1083787.0
205,1000000.0
206,1000000.0
207,1000000.0
208,1000000.0
209,1000000.0
210,1000000.0
211,1075251.0
212,1013806.0
213,1083787.0
214,1013806.0
215,1000000.0
216,1000000.0
217,1000000.0
218,1000000.0
219,1000000.0
220,1075251.0
221,1002790.0
222,1083787.0
223,1002530.0
224,1000000.0
225,1000000.0
226,1000000.0
227,1000000.0
228,1000000.0
229,1075251.0
230,1046973.0
231,1083787.0
232,1048527.0
233,1000000.0
234,1000000.0
235,1000000.0
236,1000000.0
237,1000000.0
238,1075251.0
239,985292.0
240,1083787.0
241,1046956.0
242,1000000.0
243,1000000.0
244,1000000.0
245,1000000.0
246,1000000.0
247,1075251.0
248,991614.0
249,1083787.0
250,1043307.0
251,1000000.0
252,1000000.0
253,1000000.0
254,1000000.0
255,1000000.0
256,1075251.0
257,956360.0
258,1083787.0
259,1034280.0
260,1000000.0
261,1000000.0
262,1051571.0
263,1000000.0
264,1000000.0
265,1000000.0
266,1000000.0
267,1075251.0
268,1000000.0
269,1083787.0
270,1000000.0
271,1000000.0
272,1000000.0
273,1000000.0
274,1000000.0
275,1000000.0
276,1075251.0
277,1013806.0
278,1083787.0
279,1013806.0
280,1000000.0
281,1000000.0
282,1000000.0
283,1000000.0
284,1000000.0
285,1075251.0
286,1002790.0
287,1083787.0
288,1002530.0
289,1000000.0
290,1000000.0
291,1000000.0
292,1000000.0
293,1000000.0
294,1075251.0
295,1046973.0
296,1083787.0
297,1048527.0
298,1000000.0
299,1000000.0
300,1000000.0
301,1000000.0
302,1000000.0
303,1075251.0
304,985292.0
305,1083787.0
306,1046956.0
307,1000000.0
308,1000000.0
309,1000000.0
310,1000000.0
311,1000000.0
312,1075251.0
313,991614.0
314,1083787.0
315,1043307.0
316,1000000.0
317,1000000.0
318,1000000.0
319,1000000.0
320,1000000.0
321,1075251.0
322,956360.0
323,1083787.0
324,1034280.0
325,1000000.0
326,1000000.0
327,1019895.0
328,968328.0
329,1000000.0
330,1000000.0
331,1000000.0
332,1075251.0
333,1000000.0
334,1083787.0
335,1000000.0
336,1000000.0
337,1000000.0
338,1000000.0
339,1000000.0
340,1000000.0
341,1075251.0
342,1013806.0
343,1083787.0
344,1013806.0
345,1000000.0
346,1000000.0
347,1000000.0
348,1000000.0
349,1000000.0
350,1075251.0
351,1002790.0
352,1083787.0
