,0
359,120.2032417058945
360,120.10179460048676
361,119.5383882522583
362,119.3717834353447
363,118.97412180900574
364,118.85335564613342
365,119.2041090130806
366,119.78761732578278
367,119.83417272567749
368,118.57606321573256
369,118.91753196716309
370,119.19487953186037
371,118.51984828710556
372,117.26227909326552
373,116.60594940185548
374,116.91101849079132
375,116.5692189335823
376,117.28012055158617
377,116.91101849079132
378,116.12434029579164
379,116.27322494983672
380,116.25422567129137
381,116.5413099527359
382,115.73640435934068
383,115.88428556919098
384,115.48641443252563
385,113.86717528104782
386,112.84065186977386
387,113.4969374537468
388,113.13739567995071
389,113.40509474277496
390,113.59031289815904
391,113.21077942848206
392,113.12771409749983
393,112.0818054676056
394,112.0818054676056
395,111.24073177576064
396,112.15655654668808
397,111.90689742565156
398,112.83102542161942
399,112.39641278982161
400,112.60987073183058
401,112.11034297943117
402,111.28622859716415
403,112.0085319876671
404,112.4893581867218
405,111.60983383655548
406,111.8974143266678
407,111.81355506181715
408,110.18594652414322
409,110.15839040279388
410,110.34367471933363
411,110.34367471933363
412,110.48206180334093
413,110.73202967643738
414,111.6286897659302
415,113.14569890499116
416,111.712284386158
417,111.86899811029433
418,111.35187149047852
419,111.49952113628387
420,111.26882821321487
421,112.46201157569884
422,112.48935818672182
423,111.47129237651824
424,111.57348930835724
425,111.16585940122604
426,111.6286897659302
427,112.21234142780304
428,112.13752418756484
429,112.70180165767668
430,112.76637494564056
431,114.10737335681917
432,114.56100732088088
433,114.11723136901855
434,114.26524490118028
435,114.48728173971176
436,114.57946628332138
437,115.35679370164873
438,115.2001902461052
439,114.42213505506516
440,114.23702716827393
441,113.57218474149704
442,112.69218623638152
443,112.56328225135805
444,113.14569890499116
445,113.16507309675217
446,113.52479130029678
447,113.80273431539536
448,113.83074253797534
449,113.18306893110277
450,112.99780666828156
451,114.12707835435867
452,115.53257286548616
453,115.9859973192215
454,115.87412983179092
455,115.23608267307281
456,114.84833419322969
457,114.65331315994266
458,114.71872448921204
459,113.68245333433153
460,113.5624149441719
461,113.57218474149704
462,113.18306893110277
463,112.42510467767715
464,112.28590160608292
465,112.54410654306412
466,112.43329763412476
467,111.24073177576064
468,111.68394535779952
469,111.16585940122604
470,111.57348930835724
471,111.18456095457076
472,111.19392275810242
473,110.20432829856873
474,110.24110287427902
475,111.09243154525755
476,112.56328225135805
477,112.0736676454544
478,111.4901041984558
479,110.8514615893364
480,111.23135894536972
481,111.15784287452696
482,111.64755672216415
483,111.1204507946968
484,110.55996656417848
485,110.73202967643738
486,111.1752101778984
487,110.49130231142044
488,110.7784417271614
489,112.02616393566133
490,111.5371558070183
491,112.35000073909758
492,111.60175114870071
493,110.89797288179398
494,111.21263533830643
495,111.61926180124284
496,110.5097833275795
497,109.21412736177444
498,109.05703872442244
499,108.8632306456566
500,108.91835391521454
501,107.99388408660889
502,108.55788588523863
503,108.15045446157455
504,108.51203620433807
505,108.04938226938248
506,108.67776989936829
507,108.91835391521454
508,108.55788588523863
509,109.26573306322099
510,109.24251049757002
511,108.96068602800368
512,108.30874502658844
513,109.61273729801178
514,108.85426580905916
515,109.1406774520874
516,108.61396849155426
517,108.4102913737297
518,109.01590853929518
519,109.13552790880205
520,108.40013563632964
521,109.3251457810402
522,109.10335153341292
523,110.55600792169571
524,110.52826434373856
525,110.81560224294664
526,110.70419788360597
527,111.33311480283734
528,111.07375204563141
529,109.87183541059494
530,109.43637371063232
531,109.82487201690674
532,109.72325950860976
533,109.49207037687302
534,109.658223092556
535,109.60365116596222
536,109.60365116596223
537,109.53875809907912
538,109.30705070495604
539,111.28622859716414
540,112.05465734004973
541,111.97192281484604
542,112.29543983936311
543,111.69339537620544
544,111.59233421087264
545,112.2954398393631
546,111.37063920497894
547,112.52630919218063
548,112.0818054676056
549,112.00853198766708
550,111.98954373598099
551,111.83247715234756
552,112.55369991064073
553,113.81252616643906
554,113.46073627471925
555,113.27593713998797
556,112.99780666828156
557,111.98004961013793
558,111.79597824811935
559,112.37865954637527
560,111.60983383655548
561,111.77707821130753
562,111.28622859716415
563,110.63931584358215
564,110.92590391635896
565,110.6856507062912
566,111.00977420806883
567,110.08366137742996
568,110.18594652414322
569,110.22271007299425
570,109.90838944911955
571,110.14920502901076
572,110.53222298622131
573,110.39898544549942
574,110.25949567556378
575,110.19513189792632
576,110.29762655496596
577,109.55691933631896
578,109.60365116596222
579,110.34367471933363
580,110.24635165929794
581,111.34248763322829
582,111.80004715919495
583,111.18456095457076
584,110.00119149684906
585,110.33445626497269
586,110.08366137742996
587,110.28709590435028
588,110.69492429494858
589,111.15784287452698
590,111.66642367839812
591,112.62769013643263
592,112.6743447780609
593,112.46201157569884
594,111.98004961013794
595,111.7487171292305
596,110.70419788360596
597,111.304974257946
598,111.13915234804152
599,111.08309179544447
600,111.27685576677322
601,112.55369991064072
602,112.11984813213347
603,112.26681411266328
604,113.41482043266298
605,113.64614188671112
606,112.98814713954928
607,112.02616393566132
608,112.03565806150436
609,112.35954999923707
610,112.06416249275208
611,112.0736676454544
612,112.19328701496124
613,113.3314573764801
614,114.39525157213214
615,114.50570762157439
616,113.85876178741458
617,114.46886688470842
618,114.58940148353577
619,114.96824026107787
620,115.16290843486786
621,115.92059701681136
622,116.78113311529158
623,116.3653764128685
